school_id,name,careers_link,rows_now,verdict,evidence
1,Alaska Pacific University,https://www.alaskapacific.edu/about/employment/#openings,3,unclear,links=3 inline=0 roles=2 paging=n iframes=0 text=3134
15,University of West Alabama,https://www.uwa.edu/employment/,2,inline-listing,links=2 inline=0 roles=59 paging=y iframes=0 text=8736
21,Amridge University,http://www.amridgeuniversity.edu/about/employment/,2,unclear,links=2 inline=0 roles=0 paging=n iframes=0 text=8254
35,University of the Ozarks,https://ozarks.edu/about/employment/,3,unclear,links=3 inline=0 roles=2 paging=n iframes=0 text=4739
37,Hendrix College,https://www.hendrix.edu/humanresources/jobs.aspx,0,iframe-listing,links=0 inline=0 roles=0 paging=n iframes=1 text=142
47,Southern Arkansas University Main Campus,https://www.saumag.edu/human-resources/category/employment-opportunities/faculty-positions/,1,unclear,links=5 inline=2 roles=5 paging=n iframes=0 text=4348
54,Northern Arizona University,https://careers.nau.edu/jobs/search?page=1&category_uids%5B%5D=16877518cdbd46262a1b4a995c2a65c2&query=,2,unclear,links=3 inline=2 roles=4 paging=n iframes=0 text=3089
62,Arizona State University Digital Immersion,https://facultypositions.asu.edu/#/api/Home/_InterfolioPostings,1,unclear,links=1 inline=0 roles=0 paging=n iframes=0 text=337
63,Arizona State University Campus Immersion,https://facultypositions.asu.edu/#/api/Home/_InterfolioPostings,1,unclear,links=1 inline=0 roles=0 paging=n iframes=0 text=337
68,California State Polytechnic University-Humboldt,https://careers.humboldt.edu/hm/en-us/filter/?work-type=faculty,1,iframe-listing,links=3 inline=3 roles=3 paging=n iframes=2 text=3806
69,Menlo College,https://www.menlo.edu/employment-opportunities/,3,inline-listing,links=3 inline=3 roles=5 paging=n iframes=0 text=6355
73,Notre Dame de Namur University,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=fde135bd-bf6a-4ebd-965f-43a1d08a2241&ccId=19000101_000001&source=CC2&lang=en_US&selectedMenuKey=CurrentOpenings,1,no-listing-found,links=0 inline=0 roles=1 paging=n iframes=0 text=2846
74,University of California-Berkeley,https://aprecruit.berkeley.edu/apply,0,inline-listing,links=0 inline=0 roles=203 paging=n iframes=0 text=44788
75,Woodbury University,https://woodbury.edu/about/people/employment-opportunities/,1,unclear,links=3 inline=0 roles=0 paging=n iframes=0 text=6305
77,California State University-Dominguez Hills,https://careers.csudh.edu/en-us/filter/?ie=utf-8&q=&search-keyword=&work-type=instructional%20faculty%20-%20temporary%2flecturer&work-type=instructional%20faculty%20%e2%80%93%20tenured%2ftenure-track&work-type=non-instructional%20faculty%20(coach%2fcounselor%2flibrarian)&category=unit%203%20-%20cfa%20-%20california%20faculty%20association&category=faculty&job-mail-subscribe-privacy=agree,0,looks-ok-now,links=26 inline=2 roles=38 paging=n iframes=0 text=13215
80,Harvey Mudd College,https://www.hmc.edu/dean-of-faculty/available-faculty-positions/,2,inline-listing,links=3 inline=5 roles=6 paging=n iframes=0 text=4703
83,Scripps College,http://www.scrippscollege.edu/hr/faculty,3,unclear,links=4 inline=5 roles=15 paging=n iframes=0 text=4680
