school_id,post_link
1510,https://jobs.hr.ewu.edu/postings/search
1510,https://jobs.hr.ewu.edu/interest_cards
1510,https://jobs.hr.ewu.edu/postings/search?utf8=%E2%9C%93&query=Adjunct&query_v0_posted_at_date=&query_position_type_id%5B%5D=any&commit=Search
1510,https://jobs.hr.ewu.edu/postings/search?utf8=%E2%9C%93&query=&query_v0_posted_at_date=&query_position_type_id%5B%5D=1&commit=Search
1510,https://jobs.hr.ewu.edu/postings/search?utf8=%E2%9C%93&query=&query_v0_posted_at_date=&query_position_type_id%5B%5D=4&commit=Search
1510,https://jobs.hr.ewu.edu/postings/search?utf8=%E2%9C%93&query=&query_v0_posted_at_date=&query_position_type_id%5B%5D=2&commit=Search
1510,https://jobs.hr.ewu.edu/postings/all_jobs.atom
1510,https://jobs.hr.ewu.edu/postings/search.atom?utf8=%E2%9C%93&query=Adjunct&query_v0_posted_at_date=&query_position_type_id%5B%5D=any&commit=Search
1510,https://jobs.hr.ewu.edu/postings/search?commit=Search&query=Adjunct&query_position_type_id%5B%5D=any&sort=225+asc&utf8=%E2%9C%93
1510,https://jobs.hr.ewu.edu/postings/search?commit=Search&query=Adjunct&query_position_type_id%5B%5D=any&sort=226+asc&utf8=%E2%9C%93
1510,https://jobs.hr.ewu.edu/postings/search?commit=Search&query=Adjunct&query_position_type_id%5B%5D=any&sort=434+asc&utf8=%E2%9C%93
1510,https://jobs.hr.ewu.edu/postings/search?commit=Search&query=Adjunct&query_position_type_id%5B%5D=any&sort=227+asc&utf8=%E2%9C%93
1510,https://jobs.hr.ewu.edu/postings/14047
1510,https://jobs.hr.ewu.edu/bookmarks?posting_id=14047
